product_id,product_name,brand_id,category_id,model_year,list_price
1,"Trek 820 - 2016",9,6,2016,379.99
121,"Surly Krampus Frameset - 2018",8,6,2018,2499.99
125,"Trek Kids' Dual Sport - 2018",9,6,2018,469.99
154,"Trek Domane SLR 6 Disc Women's - 2018",9,7,2018,5499.99
195,"Electra Townie Go! 8i Ladies' - 2018",1,5,2018,2599.99
267,"Trek Precaliber 12 Girl's - 2018",9,1,2018,199.99
284,"Electra Savannah 1 (20-inch) - Girl's - 2018",1,1,2018,319.99
291,"Electra Sweet Ride 1 (20-inch) - Girl's - 2018",1,1,2018,319.99
316,"Trek Checkpoint ALR 4 Women's - 2019",9,7,2019,1699.99
317,"Trek Checkpoint ALR 5 - 2019",9,7,2019,1999.99
318,"Trek Checkpoint ALR 5 Women's - 2019",9,7,2019,1999.99
319,"Trek Checkpoint SL 5 Women's - 2019",9,7,2019,2799.99
320,"Trek Checkpoint SL 6 - 2019",9,7,2019,3799.99
321,"Trek Checkpoint ALR Frameset - 2019",9,7,2019,3199.99
